pitcher,player_name,game_date,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,zone,description,events,type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,bb_type,release_extension,spin_axis,season
684320,"Rodríguez, Yariel",2024-09-28,FF,94.1,2271.0,-0.14,1.17,0.8036075736617185,2.296359535099781,6.0,hit_into_play,single,X,79.5,11.0,0.434,0.391,R,R,0,0,line_drive,6.7,213.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,80.2,2938.0,1.33,-0.95,0.1693027451367434,2.0389193326678816,8.0,hit_into_play,field_out,X,95.9,39.0,0.061,0.098,R,R,0,2,fly_ball,6.4,35.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,84.4,2749.0,1.32,-0.05,1.1177946383895376,2.207331486078343,14.0,foul,,S,54.8,-23.0,,,R,R,0,2,,6.6,55.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SI,93.8,2225.0,-1.35,0.21,-1.2472287829091526,2.3876003492899374,13.0,foul,,S,,,,,R,R,0,1,,6.6,216.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,93.9,2292.0,-0.78,0.85,-0.2069136625554383,3.5971192202291755,11.0,swinging_strike,,S,,,,,R,R,0,0,,6.7,217.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,79.6,2758.0,1.28,-0.7,-0.0202130611517008,1.8703692429829772,8.0,hit_into_play,double,X,94.7,20.0,0.305,0.351,R,L,1,0,line_drive,6.5,35.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,94.8,2342.0,-0.56,0.87,-1.263278857548119,4.3802893807085415,11.0,ball,,B,,,,,R,L,0,0,,6.5,213.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,81.3,2922.0,1.4,-0.7,0.0858786949033554,1.881266416113451,8.0,called_strike,strikeout,S,,,,0.0,R,R,1,2,,6.3,25.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,95.9,2360.0,-0.18,1.05,-0.9325090950151148,4.286731348328276,11.0,ball,,B,,,,,R,R,0,2,,6.6,203.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SI,93.7,2288.0,-1.3,0.39,-0.3244968907586696,2.5975764908793977,4.0,swinging_strike,,S,,,,,R,R,0,1,,6.7,230.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SI,93.5,2277.0,-1.09,1.0,-0.8342325750447441,2.7754362791895906,11.0,swinging_strike,,S,,,,,R,R,0,0,,6.6,217.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,79.3,2788.0,1.46,-0.75,0.2330072042132198,1.520125146537949,8.0,swinging_strike,strikeout,S,,,,0.0,R,R,0,2,,6.4,26.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,83.2,2556.0,1.53,-0.17,0.6444964634774979,1.9038828831325327,9.0,foul,,S,69.4,10.0,,,R,R,0,2,,6.6,62.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,84.5,2507.0,0.38,0.1,0.018638048498095,3.4223253824295674,12.0,swinging_strike,,S,,,,,R,R,0,1,,6.3,81.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,93.9,2302.0,-0.43,1.14,0.900048664411871,2.272942807795058,14.0,foul,,S,87.9,11.0,,,R,R,0,0,,6.7,210.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,83.7,2689.0,1.4,0.02,-0.3253862957084259,2.3168903259229308,4.0,swinging_strike,strikeout,S,,,,0.0,R,R,1,2,,6.5,46.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,93.3,2379.0,-0.22,0.58,0.4074555684885434,2.8857676846542497,6.0,foul_tip,,S,,,,,R,R,1,1,,6.6,218.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,83.6,2616.0,0.6,0.35,-0.6661562829190234,2.842075567883044,4.0,called_strike,,S,,,,,R,R,1,0,,6.5,65.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,83.8,2617.0,1.32,-0.34,0.3764003544443339,1.342793281882558,14.0,ball,,B,,,,,R,R,0,0,,6.4,57.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,78.6,2552.0,0.98,-0.97,-0.5759410805528454,2.7190880622095994,4.0,hit_into_play,field_out,X,94.7,28.0,0.213,0.335,R,L,2,1,fly_ball,6.1,34.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,92.0,2343.0,-0.01,0.76,1.6618969336157896,3.21702985161245,12.0,ball,,B,,,,,R,L,1,1,,6.6,212.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,77.2,2601.0,1.49,-0.83,-0.7426183013426639,2.708701541205825,4.0,called_strike,,S,,,,,R,L,1,0,,6.4,30.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,92.8,2221.0,-0.67,1.19,-3.484711615634797,3.651812752722385,11.0,ball,,B,,,,,R,L,0,0,,6.6,211.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,92.5,2142.0,-0.72,0.89,-0.2007722539651177,2.910645465532181,2.0,hit_into_play,field_out,X,70.0,12.0,0.313,0.282,R,R,2,0,ground_ball,6.5,219.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SI,91.1,2220.0,-1.2,0.84,-1.839494048025451,2.524292024840284,11.0,ball,,B,,,,,R,R,1,0,,6.5,227.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SI,92.1,2228.0,-1.16,1.03,-1.1053152671564068,1.8160575316669127,13.0,ball,,B,,,,,R,R,0,0,,6.6,214.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,93.5,2246.0,0.1,0.96,0.721515941488383,3.4222837664601347,3.0,hit_into_play,field_out,X,73.1,69.0,0.001,0.0,R,L,1,2,popup,6.7,207.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,87.1,2642.0,0.79,-0.18,0.9173204522989326,1.813027852293558,14.0,foul,,S,111.8,14.0,,,R,L,1,2,,6.6,62.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,82.2,2906.0,0.93,-1.06,-0.1813866662520034,1.1569656920900746,13.0,foul,,S,77.7,51.0,,,R,L,1,2,,6.5,28.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,80.0,2866.0,1.55,-0.94,0.5984222971161467,1.480681549092579,14.0,foul,,S,94.7,-22.0,,,R,L,1,1,,6.4,31.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,78.6,2812.0,1.22,-0.9,-0.9347697800004584,2.746829710891446,13.0,called_strike,,S,,,,,R,L,1,0,,6.3,37.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,94.0,2376.0,-0.24,1.13,0.9180288693050564,4.039513323672372,12.0,ball,,B,,,,,R,L,0,0,,6.6,208.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SI,94.0,2339.0,-1.07,1.22,-1.3539103962861412,3.3976414415279645,11.0,hit_into_play,field_out,X,45.2,70.0,0.011,0.012,R,R,3,2,popup,6.7,209.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,87.1,2485.0,0.2,0.2,0.7401189103653861,0.4155174681058424,14.0,ball,,B,,,,,R,R,2,2,,6.3,67.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,86.1,2685.0,0.57,0.18,0.8213972721318341,2.717346299305475,6.0,foul,,S,58.8,-47.0,,,R,R,2,1,,6.6,36.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SI,95.0,2185.0,-1.4,0.56,-1.5354864112218944,2.075763185883404,13.0,ball,,B,,,,,R,R,1,1,,6.6,228.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,93.3,2310.0,-0.13,1.03,1.073771639040624,3.3044018598189986,12.0,swinging_strike,,S,,,,,R,R,1,0,,6.8,224.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,84.2,2603.0,0.8,-0.16,1.328740715348132,0.2663577121968212,14.0,ball,,B,,,,,R,R,0,0,,6.5,47.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SI,91.5,2147.0,-1.23,0.81,-0.4535369716708668,1.574775636921138,7.0,hit_into_play,field_out,X,93.6,-6.0,0.25,0.261,R,R,0,0,ground_ball,6.7,218.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FS,89.4,1550.0,-1.04,0.08,-0.0692145835180398,2.6561363238754536,5.0,hit_into_play,field_out,X,95.8,9.0,0.613,0.552,R,L,2,2,ground_ball,6.7,234.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,86.0,2792.0,1.17,-0.37,-0.6339427028224431,1.8499393328756844,7.0,foul,,S,80.4,-6.0,,,R,L,2,2,,6.4,51.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,96.6,2356.0,-0.28,1.04,-1.2991444310985236,2.122615399237986,13.0,ball,,B,,,,,R,L,1,2,,6.7,207.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FS,90.2,1807.0,-1.37,0.47,-0.235503394678713,-0.3471676214515133,13.0,ball,,B,,,,,R,L,0,2,,6.8,235.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,76.3,2719.0,1.32,-1.05,-0.652828949339507,2.6033045987287124,4.0,called_strike,,S,,,,,R,L,0,1,,6.4,31.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,90.8,2294.0,-0.1,1.11,-0.6231742842433363,2.304145704902255,4.0,called_strike,,S,,,,,R,L,0,0,,6.5,210.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,83.8,2633.0,0.61,0.48,0.7576280963921108,2.472355136423418,6.0,hit_into_play,field_out,X,71.2,0.0,0.095,0.106,R,R,2,1,ground_ball,6.4,96.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,85.5,2556.0,0.82,0.32,-0.1144353010782275,3.2618509181322235,2.0,called_strike,,S,,,,,R,R,2,0,,6.2,94.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SI,92.9,2255.0,-1.21,0.73,-2.093323221688552,2.1655841568123693,13.0,ball,,B,,,,,R,R,1,0,,6.6,232.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,81.7,2507.0,0.82,-0.2,1.5565781989746497,0.4778788654945942,14.0,ball,,B,,,,,R,R,0,0,,6.3,48.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,93.7,2226.0,-0.25,0.99,0.0769763415602436,2.852778143726435,2.0,hit_into_play,field_out,X,80.4,67.0,0.008,0.007,R,R,1,1,popup,6.7,222.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,91.9,2289.0,-0.09,0.99,0.5830337064011037,2.268172439349378,6.0,foul,,S,76.0,57.0,,,R,R,1,0,,6.6,211.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,93.0,2265.0,-0.18,1.11,1.0045060470885452,0.9875880668841844,14.0,ball,,B,,,,,R,R,0,0,,6.5,210.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,83.1,2718.0,0.88,0.07,-0.3955800923083656,2.4100777904709823,4.0,swinging_strike,strikeout,S,,,,0.0,R,R,1,2,,6.4,64.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,85.4,2753.0,0.43,0.47,0.7455810355554389,2.719333660613773,6.0,foul,,S,69.9,38.0,,,R,R,1,2,,6.4,65.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,83.3,2797.0,0.93,-0.08,0.1393245017875416,1.2237067351393498,14.0,ball,,B,,,,,R,R,0,2,,6.3,50.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,94.3,2277.0,-0.23,1.23,-0.1219723360435225,3.18044491972518,2.0,called_strike,,S,,,,,R,R,0,1,,6.6,205.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,92.9,2334.0,-0.01,0.84,-0.1249084527057697,3.634577972688956,2.0,swinging_strike,,S,,,,,R,R,0,0,,6.7,212.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,93.3,2258.0,-0.1,0.83,0.7683413954888675,1.8154495960757984,9.0,hit_into_play,double,X,94.9,-23.0,0.121,0.135,R,L,1,1,ground_ball,6.6,204.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,78.7,2806.0,1.31,-1.09,-0.9128348197705752,2.5989680957683445,13.0,called_strike,,S,,,,,R,L,1,0,,6.3,39.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,94.6,2251.0,0.11,1.26,-0.6690559585591203,3.750145494590648,1.0,ball,,B,,,,,R,L,0,0,,6.6,214.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SI,94.8,2281.0,-1.07,0.88,-0.3675247148498088,1.8527865531786063,7.0,hit_into_play,single,X,98.1,3.0,0.5,0.456,R,R,1,2,ground_ball,6.7,217.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SI,94.4,2367.0,-1.18,1.0,-0.8355425500603519,1.9671570599266817,13.0,called_strike,,S,,,,,R,R,1,1,,6.8,221.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,95.3,2332.0,-0.59,0.87,0.8189030491042836,3.350731140712837,3.0,ball,,B,,,,,R,R,0,1,,6.6,229.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,93.7,2218.0,-0.07,0.98,0.3953418892975656,1.96888894399906,9.0,called_strike,,S,,,,,R,R,0,0,,6.6,213.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,93.4,2219.0,-0.21,1.07,-0.936970042960009,3.251457172109244,11.0,ball,walk,B,,,,0.689131,R,L,3,1,,6.6,211.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FS,87.9,1668.0,-1.26,0.4,-0.2384857513942979,0.0727476141402685,13.0,blocked_ball,,B,,,,,R,L,2,1,,7.1,228.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,76.8,2760.0,1.03,-1.28,-2.208033578695163,2.0164436130700905,13.0,ball,,B,,,,,R,L,1,1,,6.4,31.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,78.6,2797.0,1.1,-1.25,-0.0842320699579249,1.6597151805681367,13.0,called_strike,,S,,,,,R,L,1,0,,6.5,25.0,2024
684320,"Rodríguez, Yariel",2024-09-28,CU,78.0,2706.0,1.37,-1.14,-0.4799313442335102,0.999233492961176,13.0,ball,,B,,,,,R,L,0,0,,6.4,29.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,93.9,2309.0,-0.34,1.07,-0.36344691870954,2.249783604945171,4.0,hit_into_play,field_out,X,94.8,45.0,0.008,0.013,R,R,0,1,fly_ball,6.6,209.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,94.6,2402.0,-0.05,1.16,0.2309227994295155,3.06139484026938,2.0,foul,,S,,,,,R,R,0,0,,6.6,202.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,94.9,2439.0,-0.25,1.19,0.6403167398079942,2.3114584443469166,6.0,called_strike,strikeout,S,,,,0.0,R,R,1,2,,6.8,211.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,83.2,2688.0,0.82,0.09,0.6500705708645479,1.9340567841713556,9.0,foul,,S,49.1,-36.0,,,R,R,1,2,,6.3,52.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,83.1,2581.0,0.63,0.23,-0.2267593115581095,2.058341422660829,8.0,foul,,S,78.6,14.0,,,R,R,1,1,,6.2,62.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,84.7,2506.0,0.28,0.07,-0.0966258697111233,1.47666809947642,13.0,foul,,S,,,,,R,R,1,0,,6.3,93.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,93.5,2382.0,0.06,1.05,0.3627965459943044,3.537865231698319,3.0,ball,,B,,,,,R,R,0,0,,6.5,204.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,94.7,2282.0,-0.61,1.31,0.7111227842178638,0.6296143963458751,14.0,ball,walk,B,,,,0.689131,R,L,3,2,,6.7,220.0,2024
684320,"Rodríguez, Yariel",2024-09-28,SL,85.4,2502.0,0.63,-0.12,1.3394444022319554,0.2547729103809137,14.0,ball,,B,,,,,R,L,2,2,,6.3,49.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,94.5,2137.0,-0.6,1.22,-0.7766587522024438,3.0034168802367054,1.0,called_strike,,S,,,,,R,L,2,1,,6.5,213.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,92.2,2278.0,-0.2,1.2,0.582505228093029,2.387250456940129,6.0,foul,,S,84.8,81.0,,,R,L,2,0,,6.5,209.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,92.4,2219.0,-0.55,1.27,-1.3389617910969145,2.2259843194602587,13.0,ball,,B,,,,,R,L,1,0,,6.6,214.0,2024
684320,"Rodríguez, Yariel",2024-09-28,FF,93.4,2124.0,-0.69,1.24,-1.493824770240824,1.512193211888383,13.0,ball,,B,,,,,R,L,0,0,,6.6,212.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,93.9,2485.0,-0.1,1.28,1.295073379293149,3.1618092145278527,12.0,hit_into_play,field_out,X,51.0,37.0,0.168,0.152,R,L,2,1,line_drive,6.9,205.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,93.8,2406.0,-0.31,1.21,1.3974727493350916,4.003632303778228,12.0,ball,,B,,,,,R,L,1,1,,6.8,206.0,2024
684320,"Rodríguez, Yariel",2024-09-21,CU,76.9,2827.0,1.21,-1.04,-0.559929015255261,2.877833557789353,1.0,called_strike,,S,,,,,R,L,1,0,,6.4,34.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,93.8,2314.0,-0.17,1.33,-0.4968998116444539,4.727222080497636,11.0,ball,,B,,,,,R,L,0,0,,6.8,206.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,94.8,2424.0,-0.05,1.14,0.5867489682959834,3.363974521268899,12.0,hit_into_play,field_out,X,54.8,60.0,0.001,0.0,R,L,2,2,popup,7.0,211.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SL,86.2,2751.0,1.15,0.4,1.2233662894353634,2.2822373482147382,12.0,foul,,S,66.1,-13.0,,,R,L,2,2,,6.6,94.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SL,83.3,2857.0,1.19,0.19,-0.2028680783407332,3.108967613941872,2.0,called_strike,,S,,,,,R,L,2,1,,6.6,55.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,93.7,2389.0,0.06,0.82,0.4197162791147864,3.9781170945865143,12.0,ball,,B,,,,,R,L,1,1,,6.7,199.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,91.7,2260.0,0.12,0.77,0.2844008460597897,3.418766663954768,12.0,swinging_strike,,S,,,,,R,L,1,0,,6.8,201.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,94.0,2276.0,-0.11,1.13,-0.3661389831708329,4.5620052489363605,11.0,ball,,B,,,,,R,L,0,0,,6.8,206.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SL,84.1,2862.0,1.03,0.23,-0.3306430283690992,3.597646124406126,1.0,swinging_strike,strikeout,S,,,,0.0,R,R,2,2,,6.5,57.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SL,85.2,2906.0,1.48,-0.15,0.5321008434203452,2.8265165826944805,6.0,foul,,S,75.7,62.0,,,R,R,2,2,,6.5,64.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,94.3,2394.0,-0.11,0.88,-0.0941078642966048,3.23853227572405,2.0,swinging_strike,,S,,,,,R,R,2,1,,6.7,207.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,93.2,2334.0,0.02,0.89,-0.7576498302415887,3.463494867156641,1.0,swinging_strike,,S,,,,,R,R,2,0,,6.8,206.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SI,93.5,2363.0,-1.19,1.02,1.06813634020187,2.719860729152884,12.0,ball,,B,,,,,R,R,1,0,,6.7,212.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,93.9,2364.0,-0.11,0.84,1.1066886236590066,2.52135336953589,14.0,ball,,B,,,,,R,R,0,0,,7.0,215.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SI,94.1,2298.0,-1.42,0.95,-1.752778215928158,2.3926958769622075,13.0,ball,walk,B,,,,0.689131,R,L,3,2,,6.8,216.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,95.9,2302.0,-0.04,1.25,-1.2851163019876712,3.856896365695813,11.0,ball,,B,,,,,R,L,2,2,,6.7,207.0,2024
684320,"Rodríguez, Yariel",2024-09-21,CU,78.3,2945.0,1.2,-1.41,0.1506262224310102,1.0069142568244978,14.0,foul,,S,,,,,R,L,2,2,,6.5,27.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FS,89.1,1373.0,-1.0,0.15,-0.1875439994193022,2.679823350839419,5.0,foul,,S,82.4,46.0,,,R,L,2,2,,6.9,237.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SL,84.7,2738.0,1.46,-0.31,1.3866920873593735,1.9158121446233989,14.0,foul,,S,74.3,-27.0,,,R,L,2,2,,6.4,46.0,2024
684320,"Rodríguez, Yariel",2024-09-21,CU,78.9,3000.0,1.02,-1.44,0.3866433681968635,-1.432983514940653,14.0,ball,,B,,,,,R,L,1,2,,6.5,20.0,2024
684320,"Rodríguez, Yariel",2024-09-21,CU,77.6,2789.0,1.3,-1.21,0.108762560112736,2.2303488070251767,8.0,foul,,S,67.0,-35.0,,,R,L,1,1,,6.4,36.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,93.4,2360.0,-0.32,1.01,-1.2970582428071118,2.5677665566114243,13.0,ball,,B,,,,,R,L,0,1,,6.7,206.0,2024
684320,"Rodríguez, Yariel",2024-09-21,CU,77.5,2739.0,1.26,-0.83,0.0743606408737295,2.966751318526378,5.0,called_strike,,S,,,,,R,L,0,0,,6.5,36.0,2024
684320,"Rodríguez, Yariel",2024-09-21,CU,78.5,2929.0,1.18,-1.34,0.3609700881275264,1.246403409599405,14.0,hit_into_play,field_out,X,70.4,-46.0,0.2,0.219,R,R,0,1,ground_ball,6.5,26.0,2024
684320,"Rodríguez, Yariel",2024-09-21,CU,78.2,2790.0,1.39,-1.02,0.3064319224098066,1.274024059242744,14.0,swinging_strike,,S,,,,,R,R,0,0,,6.5,29.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,95.2,2423.0,-0.34,1.47,-0.0227183840781785,3.567965420360798,11.0,hit_into_play,home_run,X,102.2,35.0,0.5054782608695653,1.0063478260869567,R,L,0,0,fly_ball,6.7,211.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SI,94.1,2359.0,-1.61,0.81,-1.0841934322829796,2.804576646935501,11.0,hit_into_play,field_out,X,83.0,-11.0,0.079,0.116,R,R,1,0,ground_ball,6.7,210.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SI,94.9,2265.0,-1.46,0.91,-1.6462521611636038,3.635500910043786,11.0,ball,,B,,,,,R,R,0,0,,6.6,217.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,93.7,2386.0,0.07,1.16,1.019477676900095,2.4477204973871256,12.0,hit_into_play,field_out,X,95.1,40.0,0.05,0.096,R,L,0,0,fly_ball,6.6,212.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,94.1,2258.0,-0.37,1.01,-0.4634834420158638,4.06432639242894,11.0,ball,walk,B,,,,0.689131,R,R,3,1,,6.7,208.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SL,85.4,2732.0,0.86,0.42,0.1396352261848061,4.003322100002977,12.0,ball,,B,,,,,R,R,2,1,,6.4,83.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SL,83.4,2662.0,0.37,0.28,-0.5065452435496891,3.324660574328199,1.0,foul,,S,65.3,47.0,,,R,R,2,0,,6.4,88.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SI,93.7,2223.0,-1.6,0.59,-0.9580988964670284,3.1135948995236387,11.0,ball,,B,,,,,R,R,1,0,,6.7,227.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SI,88.9,2199.0,-1.18,1.12,0.2212007603531622,1.6990105422201245,8.0,ball,,B,,,,,R,R,0,0,,6.5,209.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,94.0,2221.0,-0.25,0.79,0.7588905281934002,2.637552565396866,6.0,hit_into_play,field_out,X,83.7,-1.0,0.205,0.223,R,L,1,1,ground_ball,6.8,210.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,94.8,2295.0,-0.14,0.86,-0.8068717606586462,2.9725260510060894,1.0,called_strike,,S,,,,,R,L,1,0,,6.6,207.0,2024
684320,"Rodríguez, Yariel",2024-09-21,CU,80.1,2886.0,1.28,-1.18,-1.230089672251519,2.497502191054385,11.0,ball,,B,,,,,R,L,0,0,,6.4,33.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FS,90.6,1506.0,-1.26,0.22,-0.4222415628828702,1.801041630610452,7.0,hit_into_play,single,X,97.9,2.0,0.484,0.446,R,L,1,2,ground_ball,7.0,236.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,95.3,2322.0,-0.11,0.85,0.1887244531197326,3.705876527875641,12.0,swinging_strike,,S,,,,,R,L,1,1,,6.8,212.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,94.3,2319.0,-0.16,0.46,0.5399973424509105,3.5146494870776825,12.0,ball,,B,,,,,R,L,0,1,,6.7,206.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,96.1,2335.0,-0.42,1.05,-0.766136229359879,2.2130836577728297,4.0,called_strike,,S,,,,,R,L,0,0,,6.7,212.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SL,87.4,2873.0,1.4,-0.03,1.023861683099941,1.307207806821875,14.0,swinging_strike,strikeout,S,,,,0.0,R,R,2,2,,6.6,57.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SI,94.6,2302.0,-1.22,0.94,-1.1076589386620483,3.570439464273901,11.0,foul,,S,40.5,-8.0,,,R,R,2,2,,6.7,209.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SI,94.1,2381.0,-1.14,1.11,0.3819577217531944,2.180122597378221,9.0,foul,,S,72.5,35.0,,,R,R,2,2,,6.8,219.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SL,87.9,2683.0,1.15,0.14,0.2046077435860552,2.436685278687136,5.0,foul,,S,66.8,47.0,,,R,R,2,2,,6.6,79.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,96.6,2397.0,-0.33,1.47,1.3591003795280714,5.1854793098030685,12.0,ball,,B,,,,,R,R,1,2,,6.5,205.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,95.4,2407.0,-0.19,0.95,-0.0162374903091097,3.6861645588750473,11.0,swinging_strike,,S,,,,,R,R,1,1,,6.7,212.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SI,96.1,2389.0,-1.29,0.75,0.3001471324686413,1.0693346306773122,14.0,ball,,B,,,,,R,R,0,1,,6.7,215.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SL,86.1,2795.0,0.99,0.13,0.8522312630791417,1.2737396630889748,14.0,swinging_strike,,S,,,,,R,R,0,0,,6.6,59.0,2024
684320,"Rodríguez, Yariel",2024-09-21,SL,85.7,2857.0,1.16,0.17,1.201503794700205,1.9039386994600287,14.0,hit_into_play,field_out,X,93.0,41.0,0.016,0.024,R,L,2,2,fly_ball,6.6,52.0,2024
684320,"Rodríguez, Yariel",2024-09-21,FF,94.2,2421.0,-0.1,0.8,2.0000147894571105,2.424656421589225,14.0,ball,,B,,,,,R,L,1,2,,6.8,200.0,2024
