batter,player_name,game_date,pitch_type,plate_x,plate_z,zone,description,events,type,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,bb_type,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,season
665998,"Munguia, Ismael",2024-03-26,FC,-0.217636684949886,1.7057279284020934,8.0,hit_into_play,single,X,150.76,84.77,239.0,99.7,9.0,line_drive,0.682,,R,L,1,2,2024
665998,"Munguia, Ismael",2024-03-26,FC,-0.2851626013080452,3.3643500327330647,1.0,foul,,S,,,126.0,75.3,26.0,,,,R,L,1,1,2024
665998,"Munguia, Ismael",2024-03-26,CH,-1.6840416891939576,1.043943461068515,13.0,ball,,B,,,,,,,,,R,L,0,1,2024
665998,"Munguia, Ismael",2024-03-26,FF,-0.3268430429528121,3.192840358308909,1.0,swinging_strike,,S,,,,,,,,,R,L,0,0,2024
665998,"Munguia, Ismael",2024-03-25,FF,-0.2919839931855981,2.519274672319526,4.0,hit_into_play,single,X,102.9,81.54,226.0,103.7,8.0,line_drive,0.687,,R,L,0,2,2024
665998,"Munguia, Ismael",2024-03-25,CH,-0.2234324022229306,1.1308047777013237,13.0,swinging_strike,,S,,,,,,,,,R,L,0,1,2024
665998,"Munguia, Ismael",2024-03-25,CH,-0.6798976786105968,0.7911190144179776,13.0,missed_bunt,,S,,,,,,,,,R,L,0,0,2024
665998,"Munguia, Ismael",2024-03-23,,,,,hit_into_play,field_out,X,153.75,75.18,,,,fly_ball,,,L,L,0,0,2024
665998,"Munguia, Ismael",2024-03-23,,,,,hit_into_play,force_out,X,139.07,153.13,,,,ground_ball,,,L,L,0,0,2024
665998,"Munguia, Ismael",2024-03-23,,,,,hit_into_play,field_out,X,153.24,169.33,,,,ground_ball,,,R,L,0,0,2024
665998,"Munguia, Ismael",2024-03-22,,,,,swinging_strike,strikeout,S,,,,,,,,,L,L,3,2,2024
665998,"Munguia, Ismael",2024-03-22,,,,,foul,,S,,,,,,,,,L,L,3,2,2024
665998,"Munguia, Ismael",2024-03-22,,,,,foul,,S,,,,,,,,,L,L,3,1,2024
665998,"Munguia, Ismael",2024-03-22,,,,,called_strike,,S,,,,,,,,,L,L,3,0,2024
665998,"Munguia, Ismael",2024-03-22,,,,,ball,,B,,,,,,,,,L,L,2,0,2024
665998,"Munguia, Ismael",2024-03-22,,,,,ball,,B,,,,,,,,,L,L,1,0,2024
665998,"Munguia, Ismael",2024-03-22,,,,,ball,,B,,,,,,,,,L,L,0,0,2024
665998,"Munguia, Ismael",2024-03-22,,,,,hit_into_play,field_out,X,152.44,134.05,,,,ground_ball,,,R,L,3,1,2024
665998,"Munguia, Ismael",2024-03-22,,,,,called_strike,,S,,,,,,,,,R,L,3,0,2024
665998,"Munguia, Ismael",2024-03-22,,,,,ball,,B,,,,,,,,,R,L,2,0,2024
665998,"Munguia, Ismael",2024-03-22,,,,,ball,,B,,,,,,,,,R,L,1,0,2024
665998,"Munguia, Ismael",2024-03-22,,,,,blocked_ball,,B,,,,,,,,,R,L,0,0,2024
665998,"Munguia, Ismael",2024-03-22,,,,,hit_by_pitch,hit_by_pitch,B,,,,,,,,,R,L,1,1,2024
665998,"Munguia, Ismael",2024-03-22,,,,,hit_by_pitch,hit_by_pitch,B,,,,,,,,,L,L,1,1,2024
665998,"Munguia, Ismael",2024-03-22,,,,,swinging_strike,,S,,,,,,,,,R,L,1,0,2024
665998,"Munguia, Ismael",2024-03-22,,,,,ball,,B,,,,,,,,,L,L,0,1,2024
665998,"Munguia, Ismael",2024-03-22,,,,,called_strike,,S,,,,,,,,,L,L,0,0,2024
665998,"Munguia, Ismael",2024-03-22,,,,,ball,,B,,,,,,,,,R,L,0,0,2024
665998,"Munguia, Ismael",2024-03-21,,,,,hit_into_play,field_out,X,155.23,167.36,,,,ground_ball,,,L,L,1,0,2024
665998,"Munguia, Ismael",2024-03-21,,,,,ball,,B,,,,,,,,,L,L,0,0,2024
665998,"Munguia, Ismael",2024-03-21,,,,,ball,walk,B,,,,,,,,,L,L,3,1,2024
665998,"Munguia, Ismael",2024-03-21,,,,,ball,,B,,,,,,,,,L,L,2,1,2024
665998,"Munguia, Ismael",2024-03-21,,,,,ball,,B,,,,,,,,,L,L,1,1,2024
665998,"Munguia, Ismael",2024-03-21,,,,,ball,,B,,,,,,,,,L,L,0,1,2024
665998,"Munguia, Ismael",2024-03-21,,,,,called_strike,,S,,,,,,,,,L,L,0,0,2024
665998,"Munguia, Ismael",2024-03-21,,,,,foul_tip,strikeout,S,,,,,,,,,L,L,1,2,2024
665998,"Munguia, Ismael",2024-03-21,,,,,foul,,S,,,,,,,,,L,L,1,2,2024
665998,"Munguia, Ismael",2024-03-21,,,,,ball,,B,,,,,,,,,L,L,0,2,2024
665998,"Munguia, Ismael",2024-03-21,,,,,foul,,S,,,,,,,,,L,L,0,1,2024
665998,"Munguia, Ismael",2024-03-21,,,,,called_strike,,S,,,,,,,,,L,L,0,0,2024
665998,"Munguia, Ismael",2024-03-20,,,,,hit_into_play,field_out,X,59.75,83.14,,,,fly_ball,,,R,L,0,0,2024
665998,"Munguia, Ismael",2024-03-20,,,,,called_strike,strikeout,S,,,,,,,,,L,L,0,2,2024
665998,"Munguia, Ismael",2024-03-20,,,,,swinging_strike,,S,,,,,,,,,L,L,0,1,2024
665998,"Munguia, Ismael",2024-03-20,,,,,called_strike,,S,,,,,,,,,L,L,0,0,2024
668901,"Vientos, Mark",2024-10-20,CU,-0.0080060295013657,1.878680669677303,8.0,hit_into_play,field_out,X,105.53,155.62,11.0,104.7,-10.0,ground_ball,0.329,0.274,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-20,ST,-0.1124077076938041,2.3170408617560327,8.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-20,SL,-0.2378647449499446,1.914994673435106,8.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,3,2,2024
668901,"Vientos, Mark",2024-10-20,FF,-1.1159258056328758,3.4931903156604998,11.0,foul,,S,,,204.0,78.3,59.0,,,,R,R,3,1,2024
668901,"Vientos, Mark",2024-10-20,FF,-1.8524250223739196,5.374563242701479,11.0,ball,,B,,,,,,,,,R,R,2,1,2024
668901,"Vientos, Mark",2024-10-20,SL,-0.4866928975382075,4.416025696085231,11.0,ball,,B,,,,,,,,,R,R,1,1,2024
668901,"Vientos, Mark",2024-10-20,FF,-0.402880198549059,3.7806373481790856,11.0,ball,walk,B,,,,,,,,0.689131,R,R,3,1,2024
668901,"Vientos, Mark",2024-10-20,ST,2.0993888128244214,0.7639423518293258,14.0,blocked_ball,,B,,,,,,,,,R,R,2,1,2024
668901,"Vientos, Mark",2024-10-20,SL,1.4074939322755795,0.5168353250570439,14.0,blocked_ball,,B,,,,,,,,,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-20,ST,1.3008215676720365,1.3267344297871997,14.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,1,2,2024
668901,"Vientos, Mark",2024-10-20,FF,-0.2315749483827948,3.027517202335898,5.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-20,FF,0.6122133958981028,1.2830576521424093,14.0,ball,,B,,,,,,,,,R,R,1,1,2024
668901,"Vientos, Mark",2024-10-20,ST,1.120357391067844,1.0057203162222188,14.0,swinging_strike,,S,,,,,,,,,R,R,1,0,2024
668901,"Vientos, Mark",2024-10-20,ST,1.536916231565777,1.6425180696977657,14.0,swinging_strike,,S,,,,,,,,,R,R,1,1,2024
668901,"Vientos, Mark",2024-10-20,SI,-1.307658220160119,2.7041689282669985,11.0,foul,,S,,,101.0,75.9,79.0,,,,R,R,1,0,2024
668901,"Vientos, Mark",2024-10-20,ST,1.5822904807202045,1.667758885932812,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-20,SI,1.4306539635935114,1.8194139515827437,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-20,SL,-0.3314792472649296,1.993912912255576,7.0,hit_into_play,home_run,X,112.77,37.36,401.0,102.8,29.0,fly_ball,0.6646800000000002,1.3250199999999994,R,R,1,0,2024
668901,"Vientos, Mark",2024-10-20,SL,1.5643213123771669,1.406329087358373,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-18,KC,0.0419725952504593,2.216031449484511,8.0,hit_into_play,field_out,X,106.23,149.11,13.0,101.7,-9.0,ground_ball,0.266,0.235,R,R,2,1,2024
668901,"Vientos, Mark",2024-10-18,FF,0.5583749474099632,2.446622827410655,6.0,called_strike,,S,,,,,,,,,R,R,2,0,2024
668901,"Vientos, Mark",2024-10-18,SI,-1.3721997607129055,1.860370934785065,13.0,ball,,B,,,,,,,,,R,R,1,0,2024
668901,"Vientos, Mark",2024-10-18,KC,0.7318522149325845,0.9105370646710388,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-18,SC,-0.6849717992622903,2.4574447060170725,4.0,hit_into_play,field_out,X,111.22,96.25,260.0,76.3,35.0,fly_ball,0.142,0.137,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-18,SL,0.5593036113789385,1.975678717022115,9.0,foul,,S,,,6.0,61.9,-19.0,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-18,KC,0.4020015235419681,1.6513795438746386,9.0,hit_into_play,field_out,X,132.94,85.08,284.0,85.2,36.0,fly_ball,0.024,0.032,R,R,2,2,2024
668901,"Vientos, Mark",2024-10-18,SI,-0.8284378728752495,1.6696641011709734,7.0,called_strike,,S,,,,,,,,,R,R,2,1,2024
668901,"Vientos, Mark",2024-10-18,KC,0.2470370686452047,2.052594198642657,8.0,foul,,S,,,2.0,66.2,-50.0,,,,R,R,2,0,2024
668901,"Vientos, Mark",2024-10-18,KC,1.0300502674269532,1.8700905348769183,14.0,ball,,B,,,,,,,,,R,R,1,0,2024
668901,"Vientos, Mark",2024-10-18,SL,1.0959836103234852,0.9386650124238188,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-18,SL,-0.1420979567527105,2.5965368991260136,5.0,hit_into_play,field_out,X,134.89,118.81,204.0,94.8,57.0,fly_ball,0.018,0.026,R,R,1,0,2024
668901,"Vientos, Mark",2024-10-18,SL,-1.547569102445839,3.374032168158376,11.0,ball,,B,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-18,KC,-0.3150682077928703,2.6773624121612287,4.0,hit_into_play,field_out,X,50.58,81.25,344.0,98.8,40.0,fly_ball,0.214,0.426,R,R,1,2,2024
668901,"Vientos, Mark",2024-10-18,SL,1.2260365944342984,0.9398927530079932,14.0,ball,,B,,,,,,,,,R,R,0,2,2024
668901,"Vientos, Mark",2024-10-18,SL,1.1024059975012142,1.373068310191663,14.0,swinging_strike,,S,,,,,,,,,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-18,KC,0.3896775925147993,2.111159202927836,9.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-17,SL,0.1410333571909854,1.2818156663066231,14.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,1,2,2024
668901,"Vientos, Mark",2024-10-17,CU,0.721874466976086,0.8772938058033999,14.0,blocked_ball,,B,,,,,,,,,R,R,0,2,2024
668901,"Vientos, Mark",2024-10-17,SL,-0.8647303408112949,3.2188964228037795,11.0,foul,,S,,,180.0,64.4,28.0,,,,R,R,0,2,2024
668901,"Vientos, Mark",2024-10-17,SL,0.1391895431276759,1.9410339071392115,8.0,foul,,S,,,1.0,68.2,-53.0,,,,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-17,SL,0.5366794953574788,1.974669584559868,9.0,swinging_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-17,FC,0.5796216274905952,2.386163750986279,6.0,hit_into_play,single,X,121.49,122.83,160.0,89.0,10.0,line_drive,0.539,0.486,R,R,0,2,2024
668901,"Vientos, Mark",2024-10-17,FF,0.2515218576771588,2.632641727518389,5.0,foul,,S,,,245.0,85.2,45.0,,,,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-17,FF,0.6519315644260455,2.895493100854853,6.0,swinging_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-17,SI,-0.7368052511324648,2.404781093436167,4.0,hit_into_play,force_out,X,110.6,151.57,57.0,83.6,3.0,ground_ball,0.284,0.269,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-17,FF,0.2640713642084613,2.845154870027085,5.0,hit_into_play,home_run,X,180.0,48.0,397.0,106.0,28.0,fly_ball,0.8653617021276598,1.745106382978723,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-17,FF,0.3292454594411975,3.189529258891997,3.0,called_strike,strikeout,S,,,,,,,,0.0,R,R,2,2,2024
668901,"Vientos, Mark",2024-10-17,ST,-0.3029130745480778,2.645306459205281,4.0,foul,,S,,,,,,,,,R,R,2,1,2024
668901,"Vientos, Mark",2024-10-17,CU,0.5897147197676087,1.927724209634252,9.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-17,FF,0.8788059217947446,2.244385081259093,14.0,ball,,B,,,,,,,,,R,R,1,1,2024
668901,"Vientos, Mark",2024-10-17,ST,1.8875044694548964,1.4109376902644084,14.0,ball,,B,,,,,,,,,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-17,ST,0.4793194987770187,2.0241740697684776,9.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-16,SI,-0.5550830661955499,2.5112944576562843,4.0,hit_into_play,single,X,191.54,132.9,232.0,74.8,40.0,fly_ball,0.142,0.133,R,R,3,1,2024
668901,"Vientos, Mark",2024-10-16,FF,-0.1317634217104139,4.430096744703874,11.0,ball,,B,,,,,,,,,R,R,2,1,2024
668901,"Vientos, Mark",2024-10-16,ST,1.6139161572339271,1.3397961382282486,14.0,ball,,B,,,,,,,,,R,R,1,1,2024
668901,"Vientos, Mark",2024-10-16,FF,0.6367972770005603,1.9258120268428895,9.0,called_strike,,S,,,,,,,,,R,R,1,0,2024
668901,"Vientos, Mark",2024-10-16,FF,0.9077031039246376,3.9435649120682505,12.0,ball,,B,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-16,FC,1.252834070718614,1.9128303998189105,14.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,3,2,2024
668901,"Vientos, Mark",2024-10-16,ST,2.259877801079945,-0.0498327902802357,14.0,ball,,B,,,,,,,,,R,R,2,2,2024
668901,"Vientos, Mark",2024-10-16,SI,-0.3007996331028071,2.701917899865633,4.0,foul,,S,,,,,,,,,R,R,2,2,2024
668901,"Vientos, Mark",2024-10-16,KC,0.5441649839310254,0.0787037068915665,14.0,ball,,B,,,,,,,,,R,R,1,2,2024
668901,"Vientos, Mark",2024-10-16,FC,-0.2275788654626516,2.8282014809425515,5.0,hit_into_play,field_out,X,154.28,45.06,386.0,103.6,32.0,fly_ball,0.725,1.4584186046511625,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-16,ST,3.011317014299906,1.2375188854838357,14.0,ball,,B,,,,,,,,,R,R,0,2,2024
668901,"Vientos, Mark",2024-10-16,KC,0.0333579099690725,1.0218269651044416,14.0,swinging_strike,,S,,,,,,,,,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-16,FF,0.1001203306761191,2.444855179566482,5.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-16,ST,0.9143099321246776,2.1015141379395312,14.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,2,2,2024
668901,"Vientos, Mark",2024-10-16,FF,-1.0343375137699178,5.147686783897665,11.0,ball,,B,,,,,,,,,R,R,1,2,2024
668901,"Vientos, Mark",2024-10-16,FC,0.4068402730987954,3.2648740351246883,3.0,swinging_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-16,FF,-0.0972829464430908,3.589269363359961,2.0,foul,,S,,,229.0,76.7,26.0,,,,R,R,1,1,2024
668901,"Vientos, Mark",2024-10-16,CU,2.2688613438043976,1.7890206071872967,14.0,ball,,B,,,,,,,,,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-16,FF,-0.2474792858993939,2.7595426135058747,5.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-14,SL,-0.1060053964209487,2.2041390029331462,8.0,hit_into_play,grounded_into_double_play,X,107.77,148.75,62.0,107.1,1.0,ground_ball,0.526,0.481,R,R,2,0,2024
668901,"Vientos, Mark",2024-10-14,SI,-1.3949384807971883,3.068594386326461,11.0,ball,,B,,,,,,,,,R,R,1,0,2024
668901,"Vientos, Mark",2024-10-14,SI,-1.8792429371769557,1.8744662316351512,13.0,ball,,B,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-14,FF,0.0190134240224618,2.512773544837719,5.0,hit_into_play,home_run,X,158.48,44.59,391.0,102.3,28.0,fly_ball,0.616906976744186,1.2214651162790702,R,R,3,2,2024
668901,"Vientos, Mark",2024-10-14,SL,0.2470133156384164,2.047657846010382,8.0,foul,,S,,,9.0,76.0,-13.0,,,,R,R,3,2,2024
668901,"Vientos, Mark",2024-10-14,SL,1.7745183872199697,0.9990266008019568,14.0,ball,,B,,,,,,,,,R,R,2,2,2024
668901,"Vientos, Mark",2024-10-14,SL,0.1621960873870755,2.8743883005657933,5.0,foul,,S,,,116.0,80.4,73.0,,,,R,R,2,2,2024
668901,"Vientos, Mark",2024-10-14,SL,1.4732618423181072,0.6695781240312835,14.0,blocked_ball,,B,,,,,,,,,R,R,1,2,2024
668901,"Vientos, Mark",2024-10-14,FF,0.0730549890297583,4.205733985994796,12.0,foul,,S,,,252.0,76.3,49.0,,,,R,R,1,2,2024
668901,"Vientos, Mark",2024-10-14,SL,-0.0112446328493558,3.3642982136290533,2.0,foul,,S,,,307.0,88.8,26.0,,,,R,R,1,1,2024
668901,"Vientos, Mark",2024-10-14,SL,0.2658639187619606,1.847752837243669,8.0,foul,,S,,,3.0,67.9,-33.0,,,,R,R,1,0,2024
668901,"Vientos, Mark",2024-10-14,SL,0.8614859734480764,1.3586847437808842,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-14,FF,0.1743458647207387,2.359448032313651,5.0,hit_into_play,force_out,X,130.53,151.79,3.0,90.0,-37.0,ground_ball,0.05,0.07,R,R,1,1,2024
668901,"Vientos, Mark",2024-10-14,FC,0.9908165449265705,4.89103338212402,12.0,ball,,B,,,,,,,,,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-14,FC,-0.3609337047377519,1.8006966936861062,7.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-14,FF,0.2083632444810126,2.905164636436965,5.0,hit_into_play,field_out,X,182.23,93.77,296.0,105.2,14.0,line_drive,0.747,0.795,R,R,1,1,2024
668901,"Vientos, Mark",2024-10-14,SL,-0.0570395923680187,1.5245275742850284,8.0,called_strike,,S,,,,,,,,,R,R,1,0,2024
668901,"Vientos, Mark",2024-10-14,FF,0.977044791595668,2.870020278617988,12.0,ball,,B,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-14,SI,-0.3511838748017992,2.489003648235872,4.0,hit_into_play,single,X,175.06,118.33,43.0,94.8,-1.0,ground_ball,0.313,0.282,L,R,1,0,2024
668901,"Vientos, Mark",2024-10-14,SL,-0.0861355187833362,4.161809256030466,11.0,ball,,B,,,,,,,,,L,R,0,0,2024
668901,"Vientos, Mark",2024-10-13,FF,-0.7178671903202545,2.209345529609809,7.0,hit_into_play,field_out,X,205.64,119.61,278.0,88.7,42.0,fly_ball,0.008,0.012,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-13,FF,-0.5112212780587487,1.9399292520063312,7.0,called_strike,strikeout,S,,,,,,,,0.0,R,R,1,2,2024
668901,"Vientos, Mark",2024-10-13,SL,-0.3825120950230273,1.872051518158579,7.0,foul,,S,,,12.0,89.1,-9.0,,,,R,R,1,1,2024
668901,"Vientos, Mark",2024-10-13,SL,0.646635878388436,0.9433992735800768,14.0,swinging_strike,,S,,,,,,,,,R,R,1,0,2024
668901,"Vientos, Mark",2024-10-13,KC,1.1376542671572258,1.019635106824432,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-13,SL,1.5292791293123218,1.22186559412765,14.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,1,2,2024
668901,"Vientos, Mark",2024-10-13,SL,0.4844575470362667,1.2775269902744493,14.0,called_strike,,S,,,,,,,,,R,R,1,1,2024
668901,"Vientos, Mark",2024-10-13,SL,1.3865084511682542,1.5229146586202431,14.0,ball,,B,,,,,,,,,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-13,SL,0.0604340467705495,2.0249060320457315,8.0,foul,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-13,KC,0.8174063260064269,1.5121710305968472,14.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,2,2,2024
668901,"Vientos, Mark",2024-10-13,KC,0.0982091834024629,1.7245626919618005,8.0,foul,,S,,,2.0,74.4,-43.0,,,,R,R,2,2,2024
668901,"Vientos, Mark",2024-10-13,SL,0.9683899595380336,0.580488675860809,14.0,ball,,B,,,,,,,,,R,R,1,2,2024
668901,"Vientos, Mark",2024-10-13,KC,1.279416099575175,-0.0572800734621354,14.0,ball,,B,,,,,,,,,R,R,0,2,2024
668901,"Vientos, Mark",2024-10-13,FF,0.6665518756427343,1.9373546528218957,9.0,called_strike,,S,,,,,,,,,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-13,FF,-0.2948044838296669,2.9956324388356363,4.0,swinging_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-09,CU,1.125553928428527,1.71210884286591,14.0,ball,walk,B,,,,,,,,0.689131,L,R,3,2,2024
668901,"Vientos, Mark",2024-10-09,CH,0.3574275795918905,1.9653566546730896,9.0,foul,,S,,,4.0,66.1,-28.0,,,,L,R,3,2,2024
668901,"Vientos, Mark",2024-10-09,CU,0.6042957161360794,1.949679304672462,9.0,foul,,S,,,,,,,,,L,R,3,2,2024
668901,"Vientos, Mark",2024-10-09,FF,0.3196549690962443,5.20814276346248,12.0,ball,,B,,,,,,,,,L,R,2,2,2024
668901,"Vientos, Mark",2024-10-09,CU,-1.2276167607085204,0.2304395038587223,13.0,blocked_ball,,B,,,,,,,,,L,R,1,2,2024
668901,"Vientos, Mark",2024-10-09,CH,0.3157432834450639,1.4177344392500897,14.0,foul,,S,,,,,,,,,L,R,1,1,2024
668901,"Vientos, Mark",2024-10-09,CH,-1.343154667198465,0.8601379479057418,13.0,blocked_ball,,B,,,,,,,,,L,R,0,1,2024
668901,"Vientos, Mark",2024-10-09,CU,0.0027866689311073,1.868369696812873,8.0,called_strike,,S,,,,,,,,,L,R,0,0,2024
668901,"Vientos, Mark",2024-10-09,CU,0.2634194581701046,2.628963761635278,5.0,hit_into_play,single,X,106.19,171.63,3.0,68.5,-39.0,ground_ball,0.118,0.092,L,R,2,1,2024
668901,"Vientos, Mark",2024-10-09,CU,-0.9586141132089512,1.0917071720866964,13.0,blocked_ball,,B,,,,,,,,,L,R,1,1,2024
668901,"Vientos, Mark",2024-10-09,FF,-0.7093056920574358,4.1070497397324255,11.0,ball,,B,,,,,,,,,L,R,0,1,2024
668901,"Vientos, Mark",2024-10-09,FF,-0.9377469017004442,2.908633688350585,11.0,foul,,S,,,166.0,60.9,46.0,,,,L,R,0,0,2024
668901,"Vientos, Mark",2024-10-09,FC,-0.2320642920703015,3.412452997063772,2.0,hit_into_play,field_out,X,137.92,52.25,364.0,99.5,35.0,fly_ball,0.3021904761904761,0.5973333333333333,L,R,1,0,2024
668901,"Vientos, Mark",2024-10-09,SI,-0.2205752587684055,2.0625588966472383,8.0,hit_into_play,double,X,90.0,62.0,375.0,108.3,17.0,line_drive,0.462578947368421,0.6762631578947369,L,R,2,2,2024
668901,"Vientos, Mark",2024-10-09,FF,0.8436418209152066,1.356775595094846,14.0,ball,,B,,,,,,,,,L,R,1,2,2024
668901,"Vientos, Mark",2024-10-09,SL,0.4322360492876151,0.7128487977868327,14.0,ball,,B,,,,,,,,,L,R,0,0,2024
668901,"Vientos, Mark",2024-10-09,FC,-0.4899679698055944,2.9960429989364195,4.0,foul,,S,,,137.0,58.5,58.0,,,,L,R,1,1,2024
668901,"Vientos, Mark",2024-10-09,FF,-0.2622603486513566,4.533059871692469,11.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,0,2,2024
668901,"Vientos, Mark",2024-10-09,FC,-0.4510928343898776,4.30774017353381,11.0,ball,,B,,,,,,,,,L,R,0,1,2024
668901,"Vientos, Mark",2024-10-09,SL,0.4063042111811973,2.823769201561124,6.0,foul,,S,,,200.0,73.7,23.0,,,,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-09,CU,-0.3928662820502777,1.685728797876143,7.0,foul,,S,,,25.0,91.4,-3.0,,,,L,R,0,0,2024
668901,"Vientos, Mark",2024-10-09,SL,0.4047282392029526,2.161504109139876,9.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-08,SI,-0.5372674240026529,2.2435794908115905,7.0,hit_into_play,single,X,76.91,91.67,238.0,107.4,11.0,line_drive,0.939,0.95,R,R,3,2,2024
668901,"Vientos, Mark",2024-10-08,KC,0.7149234389560079,1.6296664940998586,9.0,foul,,S,,,1.0,68.2,-60.0,,,,R,R,3,2,2024
668901,"Vientos, Mark",2024-10-08,SI,0.0177277756458766,2.555142844969354,5.0,foul,,S,,,277.0,88.2,24.0,,,,R,R,3,2,2024
668901,"Vientos, Mark",2024-10-08,SI,1.388569338228815,1.5122466982370109,14.0,ball,,B,,,,,,,,,R,R,2,2,2024
668901,"Vientos, Mark",2024-10-08,SI,0.8647380673380687,1.6348720307092492,14.0,ball,,B,,,,,,,,,R,R,1,2,2024
668901,"Vientos, Mark",2024-10-08,FF,0.0487988235699559,2.0477475008558805,8.0,called_strike,,S,,,,,,,,,R,R,1,1,2024
668901,"Vientos, Mark",2024-10-08,SI,-1.1297421305371085,1.6612577644658866,13.0,ball,,B,,,,,,,,,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-08,KC,0.715826648897657,1.4156024494789854,14.0,swinging_strike,,S,,,,,,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-08,KC,-0.7945656166113708,1.4549368752588163,13.0,hit_into_play,field_out,X,57.39,93.7,309.0,92.2,39.0,fly_ball,0.021,0.029,R,R,0,1,2024
668901,"Vientos, Mark",2024-10-08,SI,-0.1854014656547864,1.9650627153342912,8.0,foul,,S,,,208.0,72.3,27.0,,,,R,R,0,0,2024
668901,"Vientos, Mark",2024-10-08,SI,-0.0128162336911609,3.103026755209112,2.0,hit_into_play,single,X,102.14,173.15,57.0,99.4,1.0,line_drive,0.482,0.448,L,R,3,1,2024
668901,"Vientos, Mark",2024-10-08,FC,-1.4123303013302488,1.6015141653492275,13.0,ball,,B,,,,,,,,,L,R,2,1,2024
668901,"Vientos, Mark",2024-10-08,SI,-1.3014991903507434,2.2040214604755275,13.0,ball,,B,,,,,,,,,L,R,1,1,2024
668901,"Vientos, Mark",2024-10-08,SI,-0.5552874477559852,2.5116597420385727,4.0,foul,,S,,,,,,,,,L,R,1,0,2024
668901,"Vientos, Mark",2024-10-08,SI,-0.9417677667394984,1.504436333077124,13.0,ball,,B,,,,,,,,,L,R,0,0,2024
