pitcher,player_name,game_date,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,zone,description,events,type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,bb_type,release_extension,spin_axis,season
808967,"Yamamoto, Yoshinobu",2024-10-26,FS,90.6,1268.0,-0.43,0.2,-0.4379699662571333,2.677139686633267,4.0,hit_into_play,field_out,X,59.7,38.0,0.397,0.358,R,R,1,2,popup,6.3,234.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.8,2009.0,-0.47,1.19,-0.5578705109311102,2.338817055001844,7.0,foul,,S,69.9,49.0,,,R,R,1,2,,6.4,218.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.4,2225.0,-0.32,1.28,-0.3364485066940351,3.2044405455674383,1.0,foul,,S,70.8,67.0,,,R,R,1,2,,6.4,211.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,SL,83.8,2701.0,0.52,-0.52,-0.4629556003318752,2.6968278488784123,4.0,foul,,S,117.5,-2.0,,,R,R,1,1,,6.2,67.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FC,89.3,2396.0,0.44,0.57,0.6182180543708297,2.3869049304495222,9.0,swinging_strike,,S,,,,,R,R,1,0,,6.4,180.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FC,90.0,2414.0,0.32,0.39,1.172394222858776,0.2165622177585315,14.0,ball,,B,,,,,R,R,0,0,,6.6,174.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FS,91.5,1502.0,-0.84,0.14,-1.2638403983559676,2.510593168254416,13.0,swinging_strike,strikeout,S,,,,0.0,R,R,2,2,,6.6,233.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,76.2,2621.0,0.86,-1.57,-0.0937808779452548,1.7689698710751631,8.0,foul,,S,93.5,-37.0,,,R,R,2,1,,6.5,28.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,94.1,2115.0,-0.28,1.14,0.0498037832205557,2.2853449600391005,8.0,called_strike,,S,,,,,R,R,2,0,,6.3,211.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FC,88.5,2319.0,0.67,0.48,1.3978130739703256,2.666782071806603,14.0,ball,,B,,,,,R,R,1,0,,6.4,150.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.1,2039.0,-0.45,1.19,0.9541362952772968,2.585665786882103,14.0,ball,,B,,,,,R,R,0,0,,6.5,213.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FS,90.6,1445.0,-1.08,0.23,-0.0286240048482553,1.6830484778463617,8.0,hit_into_play,field_out,X,105.7,-12.0,0.292,0.256,R,L,0,1,ground_ball,6.5,231.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.1,2122.0,-0.62,1.23,0.2331953820580383,3.260507859056193,2.0,called_strike,,S,,,,,R,L,0,0,,6.3,217.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FC,90.2,2380.0,0.17,0.59,0.1230152706596261,1.9377746283896105,8.0,hit_into_play,field_out,X,68.4,-23.0,0.021,0.063,R,R,0,0,ground_ball,6.5,187.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,75.5,2701.0,0.82,-1.5,-0.5197570130422776,2.474299546813003,4.0,hit_into_play,field_out,X,95.2,29.0,0.235,0.43,R,L,1,1,fly_ball,6.6,27.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,94.7,2130.0,-0.63,1.16,0.7058728672807912,3.6433373108408977,12.0,ball,,B,,,,,R,L,0,1,,6.2,214.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,76.4,2598.0,0.93,-1.55,-0.8190756035292064,1.7962751630298817,7.0,called_strike,,S,,,,,R,L,0,0,,6.5,29.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.0,2231.0,-0.38,1.55,-0.2578720728394982,2.232431474697988,5.0,hit_into_play,field_out,X,77.9,-49.0,0.189,0.176,R,L,1,0,ground_ball,6.3,215.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,75.5,2700.0,1.25,-1.31,0.9618293253996127,2.074070953306123,14.0,ball,,B,,,,,R,L,0,0,,6.5,31.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FS,91.4,1608.0,-1.14,0.16,-0.4137493480897736,1.1972754904398717,13.0,swinging_strike,strikeout,S,,,,0.0,R,R,2,2,,6.4,232.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FS,91.1,1561.0,-0.99,0.46,-0.6261409879725841,0.8011210644580389,13.0,ball,,B,,,,,R,R,1,2,,6.5,231.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,77.1,2597.0,1.02,-1.24,-0.523782987597285,2.0362265889696456,7.0,called_strike,,S,,,,,R,R,1,1,,6.4,35.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,93.9,2286.0,-0.52,1.18,-1.6235338554015686,2.75180600668483,11.0,ball,,B,,,,,R,R,0,1,,6.3,211.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.2,2163.0,-0.4,1.44,-0.0723170003939851,2.134952481730922,8.0,called_strike,,S,,,,,R,R,0,0,,6.4,215.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FS,91.5,1406.0,-0.72,0.11,-0.4479995270036186,1.914550918084759,7.0,swinging_strike,strikeout,S,,,,0.0,R,L,1,2,,6.4,238.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,94.4,2195.0,-0.4,1.36,-0.1741713615225028,2.7515315284282726,5.0,called_strike,,S,,,,,R,L,1,1,,6.4,212.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,73.7,2512.0,0.69,-1.15,0.955646872346572,2.5248844070945173,14.0,ball,,B,,,,,R,L,0,1,,6.4,35.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,96.2,2164.0,-0.56,1.43,-0.9039982612418164,2.6200946280447224,13.0,foul,,S,77.5,30.0,,,R,L,0,0,,6.4,218.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.4,2175.0,-0.68,1.17,-0.7436995290158398,3.374974167485074,1.0,hit_into_play,field_out,X,100.5,6.0,0.645,0.616,R,L,0,2,ground_ball,6.5,215.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.7,2102.0,-0.53,1.3,-0.543763123940677,3.1633227774011754,1.0,foul,,S,,,,,R,L,0,1,,6.3,217.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.0,2133.0,-0.45,1.37,-0.4890154574926323,3.0029167581579306,4.0,swinging_strike,,S,,,,,R,L,0,0,,6.5,211.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.1,2398.0,-0.69,1.26,-0.6224725666284977,2.3820338961192853,7.0,hit_into_play,field_out,X,107.3,-29.0,0.137,0.116,R,R,2,0,ground_ball,6.5,214.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,94.7,2363.0,-0.46,1.39,1.1507368047624214,1.4750823763184688,14.0,ball,,B,,,,,R,R,1,0,,6.7,215.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.6,2274.0,-0.65,1.39,0.7860145984047757,1.2692614211344575,14.0,ball,,B,,,,,R,R,0,0,,6.6,212.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.4,2118.0,-0.37,1.31,-0.5728336000213908,3.440060890163683,1.0,hit_into_play,field_out,X,77.4,32.0,0.116,0.104,R,R,2,2,fly_ball,6.4,209.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,SL,85.7,2915.0,0.83,-0.44,1.1044132390010415,0.9153263260536136,14.0,ball,,B,,,,,R,R,1,2,,6.6,60.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.7,2108.0,-0.4,1.28,-0.2932140451976556,3.973796121692663,1.0,swinging_strike,,S,,,,,R,R,1,1,,6.3,213.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,75.2,2650.0,0.9,-1.38,0.3010352075425704,2.1494102371762063,9.0,swinging_strike,,S,,,,,R,R,1,0,,6.8,28.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,80.3,2619.0,0.95,-1.33,1.231803136871152,1.1587874597561445,14.0,ball,,B,,,,,R,R,0,0,,6.5,36.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.2,1979.0,-0.44,1.11,0.5926958420149491,2.1868542226536207,6.0,hit_into_play,home_run,X,105.4,37.0,0.5896875000000001,1.1925,R,L,2,2,fly_ball,6.7,218.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,SL,86.2,2581.0,0.47,0.2,0.0315949747385458,2.037465440131784,5.0,foul,,S,91.1,-17.0,,,R,L,2,2,,6.5,68.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FS,91.8,1520.0,-1.01,-0.07,-1.757545930380731,1.785037279322084,13.0,ball,,B,,,,,R,L,1,2,,6.5,237.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FS,91.8,1688.0,-1.26,0.07,-0.754632020993129,1.664689941414729,7.0,swinging_strike,,S,,,,,R,L,1,1,,6.4,230.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FS,91.3,1635.0,-1.03,0.17,-0.4904068883146892,1.6159508406905032,7.0,called_strike,,S,,,,,R,L,1,0,,6.4,232.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.8,2085.0,-0.44,1.13,-1.44942918534212,3.663069239350209,11.0,ball,,B,,,,,R,L,0,0,,6.4,217.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FC,90.4,2582.0,0.75,0.32,0.7928340935425454,2.5270183953154666,6.0,hit_into_play,field_out,X,75.3,5.0,0.197,0.179,R,R,1,1,ground_ball,6.4,142.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,78.2,2811.0,0.98,-1.15,0.5879786600926316,1.7082901289642454,9.0,called_strike,,S,,,,,R,R,1,0,,6.3,36.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,75.2,2749.0,1.02,-1.45,-0.1503551327328209,1.377705737474363,8.0,ball,,B,,,,,R,R,0,0,,6.6,26.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,75.2,2629.0,0.92,-1.24,-0.5171194143948117,2.196607292270315,4.0,hit_into_play,field_out,X,89.8,36.0,0.005,0.005,R,L,0,2,fly_ball,6.5,31.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.7,2334.0,-0.94,1.21,-0.5308402855240648,2.562889428645875,4.0,foul,,S,95.1,18.0,,,R,L,0,1,,6.4,219.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.0,2305.0,-0.64,1.38,-0.7483959827985573,2.6477994547394883,4.0,called_strike,,S,,,,,R,L,0,0,,6.5,214.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.5,2341.0,-0.67,1.21,-0.1775375273692671,2.253414547365466,5.0,hit_into_play,field_out,X,99.2,-13.0,0.263,0.238,R,L,0,1,ground_ball,6.6,213.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.9,2321.0,-0.4,1.49,0.6303960623459828,2.281776767407758,6.0,called_strike,,S,,,,,R,L,0,0,,6.5,217.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.3,2294.0,-0.48,1.17,0.4520847461049821,2.6560992648520907,6.0,hit_into_play,field_out,X,103.4,16.0,0.529,0.566,R,R,1,1,line_drive,6.6,214.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,77.6,2820.0,1.16,-1.39,-0.5344504395758045,1.945876045642973,7.0,called_strike,,S,,,,,R,R,1,0,,6.3,37.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FC,91.1,2613.0,0.15,0.29,1.4137390149009643,1.085838732594088,14.0,ball,,B,,,,,R,R,0,0,,6.5,165.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,96.4,2182.0,-0.47,1.12,-1.1487654598250234,2.766117435139236,11.0,ball,walk,B,,,,0.689131,R,L,3,1,,6.5,219.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.3,2235.0,-0.36,1.18,-0.7360429828717546,4.027743451458421,11.0,ball,,B,,,,,R,L,2,1,,6.4,211.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.3,2215.0,-0.29,1.14,-1.0737114532979226,4.621629024158255,11.0,ball,,B,,,,,R,L,1,1,,6.3,211.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.8,2255.0,-0.31,1.46,-0.4753735032754752,3.306210326591392,1.0,swinging_strike,,S,,,,,R,L,1,0,,6.5,215.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.3,2135.0,-0.54,1.13,-1.1862332760976244,3.791496902977009,11.0,ball,,B,,,,,R,L,0,0,,6.3,219.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,77.3,2944.0,1.09,-1.17,0.6593238965875075,1.7117593943758411,9.0,hit_into_play,field_out,X,38.1,-71.0,0.232,0.259,R,L,2,1,ground_ball,6.3,36.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.5,2239.0,-0.44,1.46,1.3216501234260838,2.9276178887594537,12.0,ball,,B,,,,,R,L,1,1,,6.6,214.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,76.8,2808.0,1.11,-1.19,-0.6139895647866187,2.3599722803283063,4.0,called_strike,,S,,,,,R,L,1,0,,6.4,33.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,96.1,2241.0,-0.5,1.25,-1.0622025632196437,2.612897071204634,13.0,ball,,B,,,,,R,L,0,0,,6.5,217.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.4,2207.0,-0.6,1.21,-0.2281326258497629,3.3012697277160075,2.0,hit_into_play,field_out,X,79.6,71.0,0.003,0.002,R,R,0,0,popup,6.7,207.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,SL,85.1,3012.0,0.93,-0.42,-0.180608636812204,1.6216156467807838,13.0,swinging_strike,strikeout,S,,,,0.0,R,R,3,2,,6.4,60.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,SL,86.3,3032.0,0.82,0.01,0.0230410346936822,1.957083457744197,8.0,foul,,S,68.8,32.0,,,R,R,3,2,,6.4,67.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,79.0,2981.0,0.79,-1.56,0.7129859545854467,1.1245613203323988,14.0,ball,,B,,,,,R,R,2,2,,6.7,34.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,SL,86.9,2867.0,0.51,-0.01,0.6345154638545201,1.0532101043437416,14.0,swinging_strike,,S,,,,,R,R,2,1,,6.4,70.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,96.7,2241.0,-0.56,1.27,1.1453836190980835,2.33182154899509,14.0,ball,,B,,,,,R,R,1,1,,6.6,214.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,79.6,2658.0,1.11,-1.19,0.1298506142959775,1.807605721566671,8.0,foul,,S,,,,,R,R,1,0,,6.6,29.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.8,2139.0,-0.61,1.3,-0.1928293604847583,4.36702092505921,11.0,ball,,B,,,,,R,R,0,0,,6.4,214.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,79.8,2918.0,1.25,-1.14,0.1207013952986384,1.686959836060125,8.0,hit_into_play,field_out,X,74.4,-9.0,0.066,0.055,R,L,3,2,ground_ball,6.7,37.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FS,91.2,1347.0,-0.87,0.13,-0.4293071073834558,1.0235458597827534,13.0,ball,,B,,,,,R,L,2,2,,6.7,237.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FS,92.1,1552.0,-0.58,0.53,0.2369509631571407,1.7218018110891304,8.0,foul,,S,57.8,-28.0,,,R,L,2,2,,6.7,244.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,95.8,2097.0,-0.44,1.11,-0.3957839698943429,3.300039799318488,11.0,foul,,S,82.9,10.0,,,R,L,2,1,,6.4,218.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,77.1,2763.0,1.03,-1.3,0.2196394427949635,1.1732030282724697,14.0,ball,,B,,,,,R,L,1,1,,6.6,34.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,76.3,2793.0,1.1,-1.44,-0.1623957105412697,0.8559278025438832,13.0,ball,,B,,,,,R,L,0,1,,6.6,35.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,96.4,2174.0,-0.27,1.26,-0.2744714605905997,2.434315897382929,5.0,swinging_strike,,S,,,,,R,L,0,0,,6.4,216.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,97.3,2202.0,-0.51,1.24,0.3845210977496195,4.110771071773191,12.0,ball,walk,B,,,,0.689131,R,R,3,2,,6.4,218.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,97.6,2211.0,-0.22,1.19,1.1257326629705324,2.2475383176332744,14.0,ball,,B,,,,,R,R,2,2,,6.5,215.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,78.4,2739.0,0.62,-1.46,1.103926933672457,2.1417840230950027,14.0,ball,,B,,,,,R,R,1,2,,6.3,28.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,CU,80.7,2913.0,0.98,-1.29,-0.6245622970754807,2.2418692921433108,4.0,called_strike,,S,,,,,R,R,1,1,,6.4,35.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,98.0,2317.0,-0.54,1.23,0.6409683859134746,2.648809382318425,6.0,foul,,S,82.0,37.0,,,R,R,1,0,,6.6,219.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-26,FF,97.8,2202.0,-0.71,1.26,0.0468957867607746,1.329757742349221,14.0,ball,,B,,,,,R,R,0,0,,6.4,215.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,94.5,2152.0,-0.63,1.64,0.4113643957518647,3.4747168947768072,12.0,swinging_strike,strikeout,S,,,,0.0,R,L,2,2,,6.4,220.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,CU,76.8,2770.0,1.07,-1.4,0.1842708139822784,1.905196249715088,8.0,swinging_strike,,S,,,,,R,L,2,1,,6.5,40.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,95.3,2229.0,-0.66,1.71,-0.6762052298274568,2.0258132881935182,7.0,called_strike,,S,,,,,R,L,2,0,,6.6,217.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,94.2,2160.0,-0.77,1.54,0.0686595520708153,1.3192736237844032,14.0,ball,,B,,,,,R,L,1,0,,6.6,215.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FS,86.3,1089.0,-0.52,0.46,-0.4902915602523452,4.200721195482828,11.0,ball,,B,,,,,R,L,0,0,,6.6,242.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,SI,91.3,2273.0,-1.68,1.02,-2.639424514187902,2.607066067296275,11.0,hit_by_pitch,hit_by_pitch,B,,,,0.720192,R,R,0,1,,6.5,213.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,CU,73.1,2641.0,1.24,-1.42,0.4380883449254498,2.4541355673407037,6.0,foul,,S,55.5,-51.0,,,R,R,0,0,,6.6,40.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FS,91.3,1632.0,-1.11,0.06,-0.4739305415132082,1.038583210771672,13.0,swinging_strike,strikeout,S,,,,0.0,R,R,1,2,,6.5,235.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,95.0,2304.0,-0.52,1.51,1.029238828551758,2.3584407672501677,12.0,ball,,B,,,,,R,R,0,2,,6.7,216.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,94.7,2306.0,-0.45,1.54,-0.2057075412053303,2.975767049453259,2.0,called_strike,,S,,,,,R,R,0,1,,6.6,215.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,94.4,2251.0,-0.56,1.66,0.5240878126267878,2.7623228116036787,3.0,swinging_strike,,S,,,,,R,R,0,0,,6.6,212.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,94.4,2085.0,-0.71,1.38,0.2473479933024597,3.363275024201914,12.0,hit_into_play,field_out,X,51.1,-74.0,0.153,0.211,R,R,0,0,ground_ball,6.4,216.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,CU,76.5,2759.0,1.41,-1.49,0.944164753216586,2.7972129056817883,12.0,hit_into_play,field_out,X,78.0,33.0,0.087,0.085,R,R,2,2,fly_ball,6.7,30.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,94.9,2141.0,-0.46,1.69,0.1470134942313892,3.094974684060835,5.0,called_strike,,S,,,,,R,R,2,1,,6.5,219.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FC,89.2,2498.0,-0.01,0.9,1.4833213351601615,1.599437378586337,14.0,ball,,B,,,,,R,R,1,1,,6.4,183.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,94.5,2334.0,-1.04,1.57,-1.418897850246683,3.12062495096773,11.0,ball,,B,,,,,R,R,0,1,,6.5,215.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,93.1,1985.0,-0.46,1.6,0.6093383463591047,1.986693245570748,9.0,called_strike,,S,,,,,R,R,0,0,,6.5,214.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FC,91.9,2497.0,0.0,0.82,0.3970595042113619,1.6558992277915283,9.0,hit_into_play,force_out,X,93.8,-1.0,0.303,0.365,R,R,0,0,ground_ball,6.5,191.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FS,91.0,1457.0,-0.92,0.37,-0.7864191539496111,2.0520780654776685,7.0,hit_into_play,force_out,X,103.6,-11.0,0.3,0.282,R,L,1,2,ground_ball,6.6,237.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,95.4,2081.0,-0.66,1.32,1.1819263373974207,3.553834263381275,12.0,foul,,S,51.1,-64.0,,,R,L,1,2,,6.6,221.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,SL,87.3,2803.0,0.35,0.12,0.6306502589200194,1.8313197699677837,9.0,foul,,S,81.9,-27.0,,,R,L,1,2,,6.4,81.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,95.2,2284.0,-0.96,1.41,-0.3107861936245442,3.84093014437867,11.0,foul,,S,77.6,38.0,,,R,L,1,1,,6.5,216.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,95.9,2321.0,-1.03,1.7,-1.0657771100481417,2.4556745842919887,13.0,foul,,S,70.6,36.0,,,R,L,1,0,,6.6,215.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FS,90.1,1464.0,-0.86,0.22,0.3769257512266249,1.275168119500187,14.0,ball,,B,,,,,R,L,0,0,,6.7,235.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,SL,87.1,2702.0,0.53,0.03,1.0127820268478505,0.9353520511573844,14.0,ball,walk,B,,,,0.689131,R,R,3,2,,6.5,76.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,SL,85.7,2882.0,0.91,-0.08,0.1177313430036867,2.1772100744795098,5.0,foul,,S,48.0,-50.0,,,R,R,3,1,,6.5,66.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FC,91.5,2352.0,0.02,0.61,0.5957344982093078,1.3344166782977074,14.0,called_strike,,S,,,,,R,R,3,0,,6.6,186.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,SL,86.6,2961.0,1.06,0.2,0.9482028254805652,0.6476865593023078,14.0,blocked_ball,,B,,,,,R,R,2,0,,6.6,60.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,SL,84.3,3001.0,0.94,-0.24,0.4438745714394688,3.180423152621576,3.0,ball,,B,,,,,R,R,1,0,,6.6,68.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FC,92.6,2643.0,0.3,0.76,1.4698898152634146,1.3418235993095384,14.0,ball,,B,,,,,R,R,0,0,,6.5,188.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,SL,85.6,2963.0,0.91,-0.3,0.1410333571909854,1.2818156663066231,14.0,swinging_strike,strikeout,S,,,,0.0,R,R,1,2,,6.5,62.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,CU,79.5,2844.0,1.18,-1.62,0.721874466976086,0.8772938058033999,14.0,blocked_ball,,B,,,,,R,R,0,2,,6.7,30.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,SL,85.8,2738.0,0.69,0.15,-0.8647303408112949,3.2188964228037795,11.0,foul,,S,64.4,28.0,,,R,R,0,2,,6.4,76.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,SL,85.6,2705.0,0.42,-0.03,0.1391895431276759,1.9410339071392115,8.0,foul,,S,68.2,-53.0,,,R,R,0,1,,6.5,75.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,SL,84.8,2645.0,0.45,-0.11,0.5366794953574788,1.974669584559868,9.0,swinging_strike,,S,,,,,R,R,0,0,,6.5,66.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,CU,77.7,2753.0,0.83,-1.76,-0.111439344401116,1.9841589899018024,8.0,hit_into_play,single,X,97.2,0.0,0.387,0.368,R,L,1,0,ground_ball,6.7,33.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,CU,76.2,2643.0,0.96,-1.56,0.633985004919909,1.327233808114558,14.0,ball,,B,,,,,R,L,0,0,,6.7,32.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,95.6,2201.0,-0.71,1.51,0.4762107668255351,2.4080913227486027,6.0,hit_into_play,single,X,110.4,-9.0,0.342,0.311,R,R,1,1,ground_ball,6.5,217.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,CU,76.5,2563.0,0.92,-1.67,1.697131507672011,-0.533735066045006,14.0,ball,,B,,,,,R,R,0,1,,6.9,28.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,94.0,2156.0,-0.75,1.46,0.2434409630337514,2.214458203503392,5.0,foul,,S,68.3,-38.0,,,R,R,0,0,,6.6,213.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,SL,85.9,2732.0,0.58,0.18,0.4551264156747518,2.404662130926023,6.0,swinging_strike,strikeout,S,,,,0.0,R,R,2,2,,6.5,72.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FS,91.7,1618.0,-1.27,0.04,-0.0698925451889256,0.5375609801293058,13.0,blocked_ball,,B,,,,,R,R,1,2,,6.8,236.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,95.7,2360.0,-0.58,1.66,-0.0927507559593799,2.347395879128053,5.0,called_strike,,S,,,,,R,R,1,1,,6.7,213.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FF,95.7,2277.0,-0.62,1.57,0.5274549533883404,2.4944515286967928,6.0,called_strike,,S,,,,,R,R,1,0,,6.7,219.0,2024
808967,"Yamamoto, Yoshinobu",2024-10-17,FC,90.5,2468.0,0.65,0.64,1.5518966504828553,1.5170370060068756,14.0,ball,,B,,,,,R,R,0,0,,6.5,165.0,2024
